Gene 1,Gene 2
216.0,216.0
3679.0,1134.0
1144.0,1134.0
1145.0,1134.0
1146.0,1134.0
3679.0,3679.0
2274.0,3679.0
2275.0,3679.0
4653.0,3679.0
55607.0,71.0
29124.0,71.0
11034.0,71.0
5337.0,71.0
8655.0,71.0
7408.0,71.0
29109.0,71.0
10397.0,71.0
10134.0,71.0
7114.0,71.0
4130.0,71.0
10487.0,71.0
10486.0,71.0
93661.0,71.0
3983.0,71.0
2934.0,71.0
1536.0,71.0
1773.0,71.0
71.0,71.0
308.0,71.0
7429.0,71.0
4306.0,71.0
387082.0,71.0
85477.0,71.0
2357.0,71.0
4046.0,71.0
9087.0,71.0
4640.0,71.0
55607.0,5575.0
7486.0,5575.0
8165.0,5575.0
5573.0,5575.0
55607.0,5504.0
2932.0,5504.0
5501.0,5504.0
5499.0,5504.0
1457.0,5504.0
4751.0,5504.0
1459.0,5504.0
1020.0,5504.0
22853.0,5504.0
55607.0,84687.0
5594.0,84687.0
5566.0,84687.0
6198.0,84687.0
5504.0,84687.0
55607.0,5499.0
5594.0,5499.0
7159.0,5499.0
161742.0,5499.0
5595.0,5499.0
23645.0,5499.0
5925.0,5499.0
7421.0,5499.0
7157.0,5499.0
5499.0,5499.0
11215.0,5499.0
4751.0,5499.0
9372.0,5499.0
10848.0,5499.0
63971.0,5499.0
1641.0,5499.0
84687.0,5499.0
8027.0,5499.0
988.0,5499.0
672.0,5499.0
599.0,5499.0
23368.0,5499.0
26508.0,5499.0
5514.0,5499.0
54843.0,5499.0
84152.0,5499.0
9765.0,5499.0
221692.0,5499.0
5511.0,5499.0
65979.0,5499.0
23189.0,5499.0
64434.0,5499.0
56252.0,5499.0
84919.0,5499.0
81930.0,5499.0
79660.0,5499.0
23228.0,5499.0
81566.0,5499.0
7991.0,5499.0
55607.0,55607.0
10618.0,55607.0
55607.0,6198.0
5599.0,6198.0
5595.0,6198.0
5300.0,6198.0
5601.0,6198.0
5170.0,6198.0
7015.0,6198.0
983.0,6198.0
5163.0,6198.0
2475.0,6198.0
10783.0,6198.0
5290.0,6198.0
80347.0,6198.0
57521.0,6198.0
5552.0,960.0
4771.0,960.0
4316.0,960.0
920.0,960.0
7046.0,960.0
7048.0,960.0
7410.0,960.0
2066.0,960.0
7074.0,960.0
1758.0,960.0
9138.0,960.0
3932.0,960.0
4312.0,960.0
6401.0,960.0
1445.0,960.0
286.0,960.0
2035.0,960.0
1956.0,960.0
2534.0,960.0
3161.0,960.0
1462.0,960.0
4318.0,960.0
2247.0,960.0
7430.0,960.0
972.0,960.0
1278.0,960.0
960.0,960.0
1277.0,960.0
6696.0,960.0
3486.0,960.0
1839.0,960.0
7373.0,960.0
5552.0,5196.0
5624.0,5196.0
7056.0,5196.0
2833.0,5196.0
3949.0,5196.0
5196.0,5196.0
5552.0,56893.0
9463.0,56893.0
9094.0,56893.0
5300.0,56893.0
6256.0,56893.0
9146.0,56893.0
7462.0,56893.0
5054.0,56893.0
55660.0,56893.0
1315.0,56893.0
5479.0,56893.0
10254.0,56893.0
6406.0,56893.0
9260.0,56893.0
4867.0,56893.0
4192.0,56893.0
3099.0,56893.0
9240.0,56893.0
10971.0,56893.0
6598.0,56893.0
7186.0,56893.0
29978.0,56893.0
5886.0,56893.0
4193.0,56893.0
7041.0,56893.0
2286.0,56893.0
1915.0,56893.0
1906.0,56893.0
9419.0,56893.0
30008.0,56893.0
8396.0,56893.0
10482.0,56893.0
2001.0,56893.0
2563.0,56893.0
2664.0,56893.0
6782.0,56893.0
2882.0,56893.0
23414.0,56893.0
5798.0,56893.0
6366.0,56893.0
1478.0,56893.0
10989.0,56893.0
3507.0,56893.0
29979.0,56893.0
56893.0,56893.0
3489.0,56893.0
3537.0,56893.0
3615.0,56893.0
3925.0,56893.0
1295.0,56893.0
7031.0,56893.0
7432.0,56893.0
4267.0,56893.0
1760.0,56893.0
9802.0,56893.0
26994.0,56893.0
22954.0,56893.0
4302.0,56893.0
6092.0,56893.0
4832.0,56893.0
4878.0,56893.0
4942.0,56893.0
5100.0,56893.0
5276.0,56893.0
5480.0,56893.0
5768.0,56893.0
5799.0,56893.0
10921.0,56893.0
8883.0,56893.0
6184.0,56893.0
6692.0,56893.0
22955.0,56893.0
23420.0,56893.0
7390.0,56893.0
862.0,56893.0
10961.0,56893.0
1041.0,56893.0
9982.0,56893.0
5764.0,56893.0
6696.0,56893.0
8241.0,56893.0
10742.0,56893.0
8324.0,56893.0
7755.0,56893.0
11052.0,56893.0
10551.0,56893.0
55837.0,56893.0
6447.0,56893.0
7857.0,56893.0
374.0,56893.0
51706.0,56893.0
9278.0,56893.0
51304.0,56893.0
8913.0,56893.0
10123.0,56893.0
10954.0,56893.0
23112.0,56893.0
23283.0,56893.0
26206.0,56893.0
26762.0,56893.0
27122.0,56893.0
27253.0,56893.0
28951.0,56893.0
51286.0,56893.0
51322.0,56893.0
54749.0,56893.0
55148.0,56893.0
55295.0,56893.0
5552.0,6449.0
6860.0,6449.0
6449.0,6449.0
2202.0,6449.0
4832.0,6449.0
5217.0,6449.0
2660.0,6449.0
5764.0,6449.0
6696.0,6449.0
5552.0,3002.0
5873.0,3002.0
5551.0,3002.0
3002.0,3002.0
5272.0,3002.0
3482.0,3002.0
5552.0,213.0
7532.0,213.0
4036.0,213.0
5950.0,213.0
348.0,213.0
8029.0,213.0
2217.0,213.0
2494.0,213.0
6927.0,213.0
259.0,213.0
1409.0,213.0
5444.0,213.0
5004.0,213.0
2886.0,2064.0
5058.0,2064.0
1742.0,2064.0
5296.0,2064.0
26469.0,2064.0
4771.0,2064.0
3732.0,2064.0
54206.0,2064.0
10140.0,2064.0
4585.0,2064.0
9463.0,2064.0
5335.0,2064.0
3572.0,2064.0
2185.0,2064.0
2066.0,2064.0
5295.0,2064.0
6714.0,2064.0
4145.0,2064.0
5747.0,2064.0
6464.0,2064.0
6654.0,2064.0
2064.0,2064.0
3728.0,2064.0
2065.0,2064.0
857.0,2064.0
7184.0,2064.0
1956.0,2064.0
7314.0,2064.0
2099.0,2064.0
10273.0,2064.0
55.0,2064.0
3678.0,2064.0
685.0,2064.0
7039.0,2064.0
2886.0,3815.0
5296.0,3815.0
5335.0,3815.0
7006.0,3815.0
100124696.0,3815.0
8651.0,3815.0
7525.0,3815.0
3815.0,3815.0
4067.0,3815.0
5295.0,3815.0
5781.0,3815.0
5777.0,3815.0
5578.0,3815.0
4254.0,3815.0
6714.0,3815.0
4145.0,3815.0
5800.0,3815.0
2887.0,3815.0
1399.0,3815.0
1796.0,3815.0
10750.0,3815.0
9402.0,3815.0
10019.0,3815.0
975.0,3815.0
8777.0,3815.0
161742.0,3815.0
26228.0,3815.0
10603.0,3815.0
200734.0,3815.0
1438.0,3815.0
5921.0,3815.0
1398.0,3815.0
2534.0,3815.0
3055.0,3815.0
1439.0,3815.0
2886.0,2065.0
3732.0,2065.0
3572.0,2065.0
2185.0,2065.0
2066.0,2065.0
5747.0,2065.0
6464.0,2065.0
2065.0,2065.0
5999.0,2065.0
10728.0,2065.0
5036.0,2065.0
186.0,2065.0
5753.0,2065.0
9542.0,2065.0
1020.0,2065.0
2886.0,2885.0
5296.0,2885.0
5335.0,2885.0
5594.0,2885.0
7409.0,2885.0
3265.0,2885.0
6850.0,2885.0
6461.0,2885.0
2185.0,2885.0
3937.0,2885.0
6452.0,2885.0
27040.0,2885.0
8651.0,2885.0
868.0,2885.0
29760.0,2885.0
7410.0,2885.0
55824.0,2885.0
4486.0,2885.0
2066.0,2885.0
8038.0,2885.0
23607.0,2885.0
3815.0,2885.0
5295.0,2885.0
5781.0,2885.0
5777.0,2885.0
6714.0,2885.0
1399.0,2885.0
10019.0,2885.0
7454.0,2885.0
5747.0,2885.0
1601.0,2885.0
3635.0,2885.0
25.0,2885.0
10451.0,2885.0
2321.0,2885.0
3791.0,2885.0
6464.0,2885.0
6654.0,2885.0
2048.0,2885.0
10657.0,2885.0
9564.0,2885.0
8631.0,2885.0
9846.0,2885.0
139716.0,2885.0
23624.0,2885.0
2885.0,2885.0
1432.0,2885.0
2064.0,2885.0
3702.0,2885.0
10253.0,2885.0
2051.0,2885.0
26191.0,2885.0
10818.0,2885.0
1027.0,2885.0
5159.0,2885.0
940.0,2885.0
2065.0,2885.0
6853.0,2885.0
7010.0,2885.0
2690.0,2885.0
8471.0,2885.0
2549.0,2885.0
10040.0,2885.0
4914.0,2885.0
7275.0,2885.0
6655.0,2885.0
7462.0,2885.0
30837.0,2885.0
5621.0,2885.0
3716.0,2885.0
5770.0,2885.0
3674.0,2885.0
6352.0,2885.0
5786.0,2885.0
1759.0,2885.0
1785.0,2885.0
8936.0,2885.0
8976.0,2885.0
1969.0,2885.0
7132.0,2885.0
27036.0,2885.0
27240.0,2885.0
4133.0,2885.0
10817.0,2885.0
5573.0,2885.0
2002.0,2885.0
1639.0,2885.0
9712.0,2885.0
85021.0,2885.0
9649.0,2885.0
9185.0,2885.0
153.0,2885.0
5062.0,2885.0
4233.0,2885.0
5979.0,2885.0
558.0,2885.0
154.0,2885.0
800.0,2885.0
1814.0,2885.0
1815.0,2885.0
1605.0,2885.0
1950.0,2885.0
1956.0,2885.0
2057.0,2885.0
356.0,2885.0
2261.0,2885.0
2260.0,2885.0
2322.0,2885.0
2324.0,2885.0
1441.0,2885.0
5921.0,2885.0
613.0,2885.0
3064.0,2885.0
3560.0,2885.0
2206.0,2885.0
3667.0,2885.0
3655.0,2885.0
3691.0,2885.0
